,,,,,,,,,,,,,,
Section Size,Dimensions,,,,,,,,,Properties,,,,
,d (in),bt (in),Weight,tt (in),Sx,tw (in),r (in),Sy,rx,A (in2),ry,Iyp (in4),Izp (in4),"Plastic
Mod Zp (in3)"
W18x35,17.7,6,35.02,0.425,57.62711864,0.3,0.402,5.1,7.036658519,10.3,1.218785007,15.3,510,66.5
W16x100,17,10.4,99.96,0.985,175.2941176,0.585,0.405,35.76923077,7.119007804,29.4,2.515259552,186,1490,198
W16x89,16.8,10.4,89.08,0.875,154.7619048,0.525,0.405,31.34615385,7.044027301,26.2,2.494268239,163,1300,175
W16x77,16.5,10.3,76.84,0.76,134.5454545,0.455,0.4,26.7961165,7.008212629,22.6,2.471071567,138,1110,150
W16x67,16.3,10.2,66.64,0.665,117.0552147,0.395,0.405,23.33333333,6.976637398,19.6,2.464026902,119,954,130
W16x57,16.4,7.12,57.12,0.715,92.43902439,0.43,0.405,12.10674157,6.717071357,16.8,1.601710395,43.1,758,105
W16x50,16.3,7.07,49.98,0.63,80.85889571,0.38,0.4,10.52333805,6.695515811,14.7,1.590789818,37.2,659,92
W16x45,16.1,7.04,45.22,0.565,72.79503106,0.345,0.402,9.318181818,6.637782037,13.3,1.570402946,32.8,586,82.3
W16x40,16,7,40.12,0.505,64.75,0.305,0.402,8.257142857,6.625579604,11.8,1.56497685,28.9,518,73
W16x36,15.9,6.99,36.04,0.43,56.35220126,0.295,0.402,7.010014306,6.501088443,10.6,1.52030285,24.5,448,64
W16x31,15.9,5.53,31.042,0.44,47.16981132,0.275,0.402,4.484629295,6.408852038,9.13,1.165401181,12.4,375,54
W16x26,15.7,5.5,26.112,0.345,38.34394904,0.25,0.402,3.490909091,6.260408001,7.68,1.118033989,9.6,301,44.2
W14x873,23.6,18.8,873.8,5.51,1533.898305,3.94,0.59,656.3829787,8.392140106,257,4.899773679,6170,18100,2030
W14x808,22.8,18.6,809.2,5.12,1394.736842,3.74,0.59,596.7741935,8.173537954,238,4.82900898,5550,15900,1830
W14x730,22.4,17.9,731,4.91,1276.785714,3.07,0.6,527.3743017,8.155466137,215,4.68545498,4720,14300,1660
W14x665,21.6,17.7,666.4,4.52,1148.148148,2.83,0.6,471.1864407,7.95394909,196,4.612538369,4170,12400,1480
W14x605,20.9,17.4,605.2,4.16,1033.492823,2.6,0.6,422.9885057,7.789361803,178,4.546884351,3680,10800,1320
W14x550,20.2,17.2,550.8,3.82,933.6633663,2.38,0.6,377.9069767,7.629539733,162,4.479032082,3250,9430,1180
W14x500,19.6,17,499.8,3.5,837.755102,2.19,0.6,338.8235294,7.473308513,147,4.426266681,2880,8210,1050
W14x455,19,16.8,455.6,3.21,756.8421053,2.02,0.6,304.7619048,7.325074499,134,4.370866918,2560,7190,936
W14x426,18.7,16.7,425,3.04,705.8823529,1.88,0.59,282.6347305,7.26636085,125,4.345112196,2360,6600,869
W14x398,18.3,16.6,397.8,2.85,655.7377049,1.77,0.59,261.4457831,7.16114874,117,4.306623799,2170,6000,801
W14x370,17.9,16.5,370.6,2.66,607.8212291,1.66,0.6,241.2121212,7.064577615,109,4.272807126,1990,5440,736
W14x342,17.5,16.4,343.4,2.47,560,1.54,0.6,220.7317073,6.965260331,101,4.233295652,1810,4900,672
W14x311,17.1,16.2,310.76,2.26,506.4327485,1.41,0.6,198.7654321,6.88289034,91.4,4.197008417,1610,4330,603
W14x283,16.7,16.1,283.22,2.07,459.8802395,1.29,0.6,178.8819876,6.789583152,83.3,4.157753572,1440,3840,542
W14x257,16.4,16,257.04,1.89,414.6341463,1.18,0.6,161.25,6.706231801,75.6,4.130797994,1290,3400,487
W14x233,16,15.9,232.9,1.72,376.25,1.07,0.6,144.6540881,6.628846494,68.5,4.097355387,1150,3010,436
W14x211,15.7,15.8,210.8,1.56,338.8535032,0.98,0.6,130.3797468,6.550055405,62,4.075892936,1030,2660,390
W14x193,15.5,15.7,193.12,1.44,309.6774194,0.89,0.6,118.5987261,6.50027085,56.8,4.048560864,931,2400,355
W14x176,15.2,15.7,176.12,1.31,281.5789474,0.83,0.6,106.7515924,6.427498838,51.8,4.022139503,838,2140,320
W14x159,15,15.6,158.78,1.19,253.3333333,0.745,0.6,95.8974359,6.378497067,46.7,4.002140755,748,1900,287
